term	content
간접금융/직접금융	경제에는 자금 잉여주체와 자금 부족주체가 존재하게 되는데 이들 사이에 은행이나 저축은행 신용협동기구 등 금융기관이 개입하여 자금을 중개하는 방식을 간접금융 (indirect financing)이라고 한다.
간접세/직접세	조세는 납세의무자와 실제로 세금을 부담하게 되는 조세부담자가 일치하는지 여부에 따라 간접세(indirect tax)와 직접세(direct tax)로 구분된다.
감독자협의회	다국적 금융기관들에 대한 효과적인 규제 감독을 위하여 다국적 금융기관의 본점이 소재한 국가(home country)의 감독 당국과 동 기관의 지점 또는 자회사가 소재한 진출국 (host country)의 감독 당국들로 구성된 정보공유 및 감독협력 협의체를 의미한다.
감응도계수	전방연쇄효과 참조 (245쪽)
갑기금(Capital A)	갑기금은 금융위원회로부터 인정받은 금액에 한하여 지점별로 관리하되 각 외은지점의 갑기금은 30억원 이상이어야 한다.
거시건전성 정책	개별 금융회사의 부실 방지를 목적으로 하는 미시건전성정책(microprudential policy) 과 달리 경제 전체의 금융안정을 위해 시스템 리스크(systemic risk)를 억제하는 정책을 의미한다.
거액결제시스템	거액의 자금이체가 참가기관 간에 자기계산으로 또는 고객을 대신하여 이루어지는 자금이체시스템을 말한다.
거액익스포저 규제	은행의 특정 차주 등에 대한 신용공여가 과대한 경우 해당 거래상대방의 채무불이행 등의 발생 시 해당 은행의 자본건전성을 심하게 훼손할 가능성(편중리스크)이 있다.
결제	결제(settlement)는 개인이나 기업 등 경제주체가 자금거래 또는 금융자산 거래를 한 후 청산과정을 통해 최종 확정된 금액 또는 증권을 이전하여 법적인 채권 채무를 종결시키는 과정이다.
결제리스크	결제리스크는 예기치 못한 사정으로 인하여 결제가 예정대로 이루어지지 않을 가능성 또는 그로 인하여 야기되는 손실발생 가능성으로 정의할 수 있다.
결제부족자금 공동분담제	결제부족자금 공동분담제(loss-sharing)는 참가기관의 결제불이행에 따른 미결제채무 를 여타 참가기관들이 공동분담함으로써 결제의 종료성을 확보하는 방안이다.
결제완결성	지급결제시스템을 통해 이루어진 참가기관의 지급, 청산, 결제가 어떠한 상황이나 법률에 의해서도 취소되거나 무효화되지 않고 해당 지급결제시스템의 운영 규칙에 따라 무조건적으로 이루어지는 것을 의미한다.
겸업주의/전업주의	하나의 금융회사가 제공할 수 있는 금융서비스의 종류를 어떻게 정하느냐에 따라 겸업주의(universal banking)와 전업주의(specialized banking)로 구분된다.
경기	경기(business conditions)라는 단어는 일상생활에서 경제적인 형편을 뜻하는 말로 자주 사용된다.
경기동향지수(경기확산지수)	경기동향지수는 경기종합지수와는 달리 경기변동의 진폭이나 속도는 측정하지 않고 변화방향만을 파악하는 것으로서 경기의 국면 및 전환점을 식별하기 위한 지표로서 경기확산지수(diffusion index)라고도 한다.
경기순응성	경기순응성이란 통상 경제주체의 위험인식 및 행위, 금융의 제도 및 규제 등의 효과가 경기변동의 움직임과 같은 방향으로 움직이는 것을 의미한다.
경기조절정책/경제안정화정책	경기조절정책(business adjustment policy) 또는 경제안정화정책(stabilization policy) 은 경기가 지나친 확장 또는 수축 현상을 보일 경우 이를 정상수준으로 되돌리기 위해 정책당국이 취하는 제반 조치를 말한다.
경기종합지수	산업생산지수, 소매판매액지수 등 개별 경제지표들은 경제활동의 한 측면만을 반영하 고 있어 나라 경제의 전반적인 상황을 종합적으로 파악하기 어렵다.
경상수지	경상수지는 재화나 서비스를 외국과 사고파는 거래 즉 경상거래의 결과로 나타나는 수지를 말한다.
경영실태평가/은행경영실태등급평가제도	임점 검사 시 금융기관의 경영실태 전반을 점검 평가하는 제도이다.
경영지도비율	금융위원회는 은행법 제45조, 은행업 감독규정 제26조 및 동 시행세칙 제17 조 에 의거 금융기관 경영의 건전성 확보를 통한 신용 질서유지 및 예금자보호를 목적으로 BIS자기자본비율, 원화유동성비율 등의 경영지도비율을 정하여 운용하고 있다.
경영평가지표	은행경영실태평가 시 이용하는 경영평가지표는 크게 계량지표와 비계량평가항목으로 구분할 수 있다.
경제성장률	경제성장률이란 일정 기간(분기 또는 연간) 중 한 나라의 경제규모, 즉 국민소득 규모가 늘어난 정도를 백분율로 표시한 것이다.
경제심리지수	경제심리지수란 기업가 또는 소비자들의 경제에 대한 인식을 조사하여 작성한 지표이며, 대표적으로 조사대상을 기업가로 하는 기업경기실사지수(BSI; Business Survey Index) 와 소비자로 하는 소비자동향지수(CSI; Consumer Survey Index)가 있다.
경제협력개발기구(OECD)	제2차 세계대전 직후 유럽경제 부흥 지원을 위해 설립되었던 유럽경제협력기구(OEEC)의 18개국과 미국, 캐나다 등 총 20개 선진국이 1960년 12월에 설립한 국제기구이다.
경제활동인구/비경제활동인구/경제활동참가율	군인과 재소자 등을 제외한 만15세 이상 인구를 노동가능인구라 하며, 이 중 일할 수 있는 능력과 취업의사를 동시에 갖춘 사람을 경제활동인구라 한다.
경제후생지표	복지지표로서 한계성을 갖는 국민총소득(GNI)을 보완하기 위해 미국의 노드하우스(W. Nordhaus)와 토빈(J. Tobin)이 제안한 새로운 지표를 말한다.
경직적 물가지수	소비자물가지수를 구성하는 품목 중에 가격이 경직적으로 움직이는 품목과 신축적으 로 움직이는 품목으로 나누어 볼 수 있는데, 그중 경직적으로 움직이는 품목들을 대상으 로 만든 물가지수를 경직적 물가지수, 신축적으로 움직이는 품목을 대상으로 한 물가지수 를 신축적 물가지수라 한다.
계절변동조정시계열	경제의 움직임은 주로 일, 주, 월, 분기 또는 연간 등 일정기간을 기준으로 통계를 수집하여 파악하는데 이를 시계열이라 한다.
계좌대체	중앙예탁기관에 계좌를 설정한 계좌 설정자간의 유가증권 수수를 실물증권의 인수도 대신 계좌간 대체하는 방식으로 장부상 처리하는 것을 말한다.
고객확인절차(KYC)	고객확인절차(KYC; Know Your Customer)는 고객의 신원을 식별하고 확인하는(verify) 업무절차를 뜻한다.
고용률	고용률은 통계청에서 매월 작성하고 있는 경제활동인구조사에서 집계된 15세 이상 인구(노동가능인구)에 대해 취업자가 차지하는 비율을 말한다.
고용보조지표	국제노동기구(ILO)에서는 노동공급과 노동수요가 일치하지 않아서 일하고 싶은 욕구 가 있음에도 불구하고 일을 하고 있지 못하는 노동력의 크기를 나타내는 고용보조지표를 새로이 확정(2013년 10월)한 바 있다.
고용유발효과/취업유발효과	노동유발효과는 소비, 투자, 수출 등 최종수요의 발생이 생산을 유발하고 생산이 다시 노동수요를 유발하는 파급 메커니즘에 기초하여 최종수요와 노동유발을 연결시킴 으로써 분석한다.
고정금리	고정금리란 최초 약정한 금리가 만기때까지 그대로 유지되는 금리를 의미하며 변동금 리란 일정 주기별로 시장 금리를 반영하여 약정금리가 변동하는 금리를 의미한다.
고정금리부채권(SB)	고정금리부채권(Straight Bond)이란 정해진 기일에 고정된 이자를 지급하고 정해진 만기에 원금을 지급하는 가장 일반적인 형태의 채권으로 전환사채(CB; Convertible Bond)의 주식전환권과 같이 특별한 조건이 없는 채권을 말한다.
고정분류여신	금융기관은 정기적으로 차주의 채무상환능력과 금융거래 내용 등을 감안하여 보유자 산 의 건전성을 5단계(정상, 요주의, 고정, 회수의문, 추정손실)로 분류하여 각각 그에 상응하는 적정 수준의 대손충당금을 적립하여야 한다.
고정이하여신비율	은행은 보유하고 있는 여신을 자산건전성에 따라 5단계로 분류하여 관리하고 있다. 즉 자산건전성이 가장 양호한 상태인 정상에서부터 회수가 어려운 정도에 따라 단계적으 로 요주의, 고정, 회수의문, 추정손실 등으로 분류한다. 이 중 고정, 회수의문, 및 추정손실 로 분류된 여신의 합계액을 총여신으로 나눈 비율을 고정이하여신비율이라고 한다.
고정자본소모	생산활동에는 공장, 기계설비 등 고정자본(시설)이 필요한데 이들은 생산활동 과정에 서 마모되기 마련이다.
고정환율제도/자유변동환율제도	환율제도는 고정환율제도(fixed exchange rate system)와 자유변동환율제도(free floating exchange rate system)를 양 극단으로 하여 이를 절충하는 다양한 형태로 분류될 수 있다.
고통지수	소비자물가상승률과 실업률을 더한 값으로 1975년 미국의 경제학자 오쿤(A. Okun) 이 국민의 삶에 실업률과 물가상승률이 큰 영향을 준다는 점에 착안하여 만든 국민의 삶의 질을 측정하기 위한 지표이다.
골디락스경제	골디락스경제(Goldilocks economy)는 경기과열에 따른 인플레이션과 경기침체에 따른 실업을 염려할 필요가 없는 최적 상태에 있는 건실한 경제를 가리킨다.
공개시장운영	공개시장운영(open market operation)은 중앙은행이 금융시장에서 금융기관을 상대 로 국공채 등 증권을 매매하여 시중유동성이나 시장금리 수준에 영향을 미치는 통화정책 수단이다.
공공재	공공재는 모든 개인이 공동으로 이용할 수 있는 재화 또는 서비스를 의미한다.
공급사용표(SUT)	산업연관표는 투입산출표(Input-Output Tables)와 공급사용표(Supply and Use Tables)로 구성되는데, 투입산출표는 상품을 기준으로, 공급사용표는 산업을 기준으로 생산내역을 나타낸 표이다.
공급탄력성	공급탄력성은 가격변화에 대한 공급의 민감도를 측정하는 척도이다.
공매도	공매도(short selling)란 없는 것을 판다는 의미로 쓰이는데 주식시장에서 공매도란 투자자가 주식을 보유하지 않은 상태에서 주가 하락을 예상하고 금융기관으로부터 주식 을 빌려 먼저 매도한 후, 주가가 하락하면 시장에서 주식을 매입하여 되갚은 후 차익을 얻는 투자를 말한다.
관리변동환율제도	환율이 장기적으로 외환시장의 수급상황에 따라 결정되도록 하지만, 단기적으로 정부 와 중앙은행이 적정하다고 판단하는 수준에서 환율을 안정시키기 위해 수시로 외환시장 에 개입하여 환율수준을 관리하는 환율제도이다.
관리통화제도	관리통화제도는 1930년대의 대공황을 계기로 많은 나라들이 금본위제도를 포기하면 서 도입된 통화제도로 일국의 통화량 증감을 중앙은행 등 정책당국이 재량으로 조절하는 제도를 말한다.
교환사채(EB)	교환사채(EB; Exchangeable Bond)란 사채권자의 의사에 따라 사채를 교환사채 발행 기업이 보유하고 있는 타사 주식 등 여타의 유가증권과 교환할 수 있는 선택권이 부여된 사채를 말한다.
교환성 통화	현재는 외환시장에서 미국의 달러화와 자유로이 교환 가능한 통화라는 의미로 사용되고 있다.
구매력평가환율	구매력평가(PPP; Purchasing Power Parity) 환율은 해당 통화의 실질 구매력을 기준으 로 평가한 환율이라고 할 수 있는데, 이는 관련 당사국간 물가수준(또는 물가상승률) 차이 즉, 당사국 화폐 간 실질구매력(가치)의 차이에 의해 균형 환율이 결정된다는 구매력 평가이론에 근거하고 있다.
구속성예금	금융기관이 차주에 대한 여신과 연계하여 대출금액의 일부를 차주의 의사에 반하여 예적금 등으로 수취하거나 정당한 사유 없이 차주의 예적금 인출 및 해약을 제한하는 행위를 말한다.
구인배율	노동의 수요와 공급을 나타내는 지표로 일자리 수를 취업 희망자 수로 나누어 구하는데 인력수급동향을 파악하는 데 주로 이용된다.
구제금융	어떤 기업이 도산할 경우 국민경제에 미칠 부정적 영향을 우려하여 금융기관은 해당 기업에 도산방지를 위하여 정책적으로 자금을 지원해 주는데 이를 구제금융(relief loan) 이라 부른다.
구조적 이익률	은행의 장기적인 생존 가능성은 충분한 이익을 창출할 수 있는 능력에 달려 있으며 은행의 이익은 금리, 대출규모, 고정이하여신비율 등의 변동에 따라 민감하게 움직인다.
국가경쟁력지수	국가경쟁력은 국제경쟁력으로 불리기도 하는데 흔히 한 나라가 사업하기 좋은 환경을 조성해 국민경제의 성장 및 국민들의 삶의 질 향상을 이끌어내는 능력을 말한다.
국가신용등급	국제신용평가사가 한 국가의 정부 채무 이행 능력과 의사 수준을 평가, 표시한 등급으 로 국제금융시장에서 차입금리나 투자여건을 판단하는 기준이 된다.
국가채무	국가채무란 정부가 재정적자 보전 등을 목적으로 국내외로부터 자금을 차입함으로써 발생하는 채무를 말한다.
국고금 실시간 전자이체	국고금 실시간 전자이체란 정부가 지급할 국고금이 실시간으로 각 채권자의 예금계좌 로 바로 입금되게 하는 것을 말한다.
국고대리점	국가의 경제활동도 민간의 경제활동과 마찬가지로 금전 수수를 수반하게 되는데 이와 같은 경제활동에 수반되는 일체의 현금을 통상 국고금이라 한다.
국고수표	국고금의 기본지급수단으로서 모든 국고금은 원칙적으로 지출관 또는 출납공무원이 발행하는 국고수표에 의해 지급된다.
국고전산망	2003년 1월 한국은행이 국고업무를 전자적으로 처리하기 위하여 구축한 전산망을 국고전산망이라고 말하며 정부(디지털예산회계시스템(dBrain)), 한국은행, 금융기관(우정사업본부 포함) 및 금융결제원의 전산시스템을 서버접속 방식으로 연결한다.
국내공급물가지수	국내공급물가지수는 생산자물가지수의 국내출하품 뿐만 아니라 수출입물가지수의 수입품을 모두 포함하여 가공정도에 따라 원재료, 중간재 및 최종재로 구분하여 지수를 국내신용 편제함으로써 물가 파급과정을 단계별로 파악할 수 있도록 한 지수로 기존에 작성했던 가공단계별물가지수(stage-of-processing index)를 서비스 부문까지 확장한 것이다.
국내신용	예금취급기관이 중앙정부, 지방정부 및 사회보장기구, 기업, 가계, 기타금융기관 등 여러 부문을 통해 공급한 통화를 국내신용(DC; Domestic Claims 또는 Domestic Credit) 이라고 한다.
국내총생산(GDP)	국내총생산(GDP; Gross Domestic Product)은 한 나라의 영역 내에서 가계, 기업, 정부 등 모든 경제 주체가 일정 기간 동안 생산활동에 참여하여 창출한 부가가치 또는 최종 생산물을 시장가격으로 평가한 합계로서 여기에는 국내에 거주하는 비거주자(외국 인)에게 지급되는 소득도 포함된다.
국내총투자율	국내 총투자율(gross domestic investment ratio)은 국민경제가 구매한 재화 중에서 자산의 증가로 나타난 부분이 국민총처분가능소득에서 차지하는 비율을 의미한다.
국민계정체계(SNA)	국민계정은 국민경제의 순환과 변동을 체계적으로 기록한 사회회계로서 경제활동을 거래형태별 및 거래에 참가하는 경제주체별로 파악하여 복식부기 방식으로 기록한 것이 다.
국민대차대조표	국민대차대조표(national balance sheet)는 특정 시점에서 국민경제 또는 비금융법인 기업, 금융법인기업, 일반정부, 가계 및 비영리단체, 국외 등 각 경제주체가 보유하고 있는 유 무형 실물자산 및 금융자산/부채의 가액과, 자산에서 부채를 차감한 순자산을 기록한 스톡통계이다.
국민부담률	국민부담률(total tax revenue as percentage of GDP)이란 조세와 사회보장기여금이 명목 국내총생산(GDP)에서 차지하는 비중(조세부담률+사회보장부담률)을 말한다.
국민소득	국민소득(NI; National Income) 이란 넓은 의미로 볼 때 한 나라 안에 있는 가계, 기업, 정부 등의 모든 경제주체가 일정 기간에 생산한 재화와 용역의 가치를 화폐단위로 평가하여 합산한 것으로 흔히 국민총소득으로 불리고 있다.
국민소득 3면 등가의 법칙	국민소득이란 한 국가에 있는 가계, 기업, 정부 등 모든 경제주체가 일정 기간(보통 1년)에 새로이 생산한 재화 및 서비스의 가치를 금액으로 평가하여 더한 총합을 의미한 다.
국민처분가능소득	국민처분가능소득(NDI; National Disposable Income)은 국민경제 전체가 소비나 저 축으로 자유로이 처분할 수 있는 소득의 규모를 나타내는 것으로 국민계정의 중요한 총량지표 중 하나이다.
국민총소득(GNI)	국민총소득(GNI; Gross National Income)은 한 나라의 국민이 생산활동에 참여한 대가로 받은 소득의 합계로서 외국으로부터 국민(거주자)이 받은 소득(국외수취 요소소 득)은 포함되고 국내총생산 중에서 외국인에게 지급한 소득(국외지급 요소소득)은 제외된다.
국부펀드	국부펀드(sovereign fund)는 주로 투자수익을 목적으로 다양한 종류의 국내외 자산에 투자 운용하는 국가보유투자기금을 말한다.
국외순수취경상이전	국외순수취경상이전은 거주자와 비거주자 간에 반대급부 없이 일어나는 이전거래로 국외수취경상이전에서 국외지급경상이전을 차감하여 구하며 거래주체에 따라 민간이전 과 공공이전으로 구분할 수 있다.
국외순수취요소소득	국외순수취요소소득은 한 나라의 국민이 국외에서 노동, 자본 등의 생산요소를 제공한 대가로 받은 국외수취요소소득에서 국내의 외국인이 생산활동에 참여함으로써 발생한 국외지급요소소득을 차감한 것으로 국외순수취 기업 및 재산소득과 피용자보수를 더하 여 구한다.
국외저축	개별 경제주체가 모자라는 돈을 다른 사람으로부터 조달하는 것과 마찬가지로 국민경제에서도 투자가 저축을 초과하게 되면 부족한 돈을 국외로부터 조달하게 되는데 이를 국외저축(foreign savings)이라고 한다. 국외저축은 경상수지적자와 일치하며 경상수지적자는 순국외채무(국외채무-국외 채권)의 증가로 보전된다.
국제결제은행(BIS)	BIS(BIS; Bank for International Settlements)는 1930년 헤이그협정을 모체로 설립된 세계에서 가장 오래된 국제금융기구로서 중앙은행 간 정책협력을 주요기능으로 하고 있으며 현재 60개 중앙은행이 회원은행으로 참여하고 있다.
국제금융시장	국제금융시장이란 국경을 넘어 자금의 수요와 공급을 연결해 주는 시장 또는 모든 거래 메커니즘을 말하며 두 가지 의미로 사용된다.
국제금융중심지	특정 국가나 지역이 국제금융시장으로 기능하기 위해서는 자국 통화의 국제통용성, 상대적으로 우월한 기초경제력, 고도로 발달된 금융시장과 다양한 장단기 금융수단의 자유로운 거래, 전 세계시장 정보의 신속 저렴한 공급, 세계적인 상품 및 서비스거래의 국제수지(BOP) 중심지 등의 요건을 두루 갖추어야 한다.
국제산업연관표	국제산업연관표(International Input-Output Tables)란 국가 간 수출입을 매개로 여러 나라의 산업연관표를 연결하여 하나의 산업연관표로 작성한 것이다.
국제수지(BOP)	일정 기간 동안 한 나라의 거주자와 비거주자 간에 발생한 경제적 거래에 따른 수입과 지급의 차이를 의미한다.
국제수지표	일정 기간 동안 한 나라의 거주자와 비거주자 간에 발생한 경제적 거래를 국제기준에 따라 체계적으로 기록한 표이다.
국제원유가격	이중 국제원유시장의 대표유종은 미국서부텍사스중질유(WTI; West Texas Intermediate), 영국 브렌트유 및 아랍에미레이 트(UAE) 두바이유의 세 가지이다.
국제통화기금(IMF)	국제통화 및 금융제도의 안정을 도모하기 위한 국제금융기구로서 미국 워싱턴에 본부를 두고 1945년 12월 설립되었다.
국제투자대조표(IIP)	국제투자대조표(IIP; International Investment Position)는 일정시점 현재 한 나라 거주자의 비거주자에 대한 금융자산(대외투자) 및 금융부채(외국인투자) 잔액을 기록한 통계표로서 국제수지의 금융계정(직접투자, 증권투자, 파생금융상품, 기타투자, 준비자 산)과 포괄범위가 동일하다.
국제회계기준	국제회계기준(IFRS; International Financial Reporting Standards)은 기업의 회계처리 와 재무제표에 대한 국제적 정합성을 높이기 위해서 국제회계기준위원회(IASB; International Accounting Standards Board)가 제정한 회계처리기준을 말한다.
국채	국채란 정부가 다양한 목적의 재정자금을 조달하기 위해 발행하는 채권을 말한다.
규모의 경제	일반적인 경우 기업이 재화 및 서비스 생산량을 늘려감에 따라 추가적으로 소요되는 평균 생산비용도 점차 늘어난다.
규제 샌드박스	규제 샌드박스(regulatory sandbox)는 핀테크 기업이 현행 규제를 적용받지 않으면서 자신의 혁신적인 금융상품과 비즈니스모델을 시험할 수 있는 공간이나 제도를 뜻한다.
그램-리치-블라일리법	1999년 11월 미국 의회가 제정한 법으로서 공식 명칭은 금융서비스현대화법(The Financial Services Modernization Act of 1999)이다.
그린본드	그린본드는 발행대금을 기후 및 환경 관련 사업에 사용하는 것을 전제로 발행되는 특수목적 채권이다.
그림자 금융	집합투자기구(MMF 채권형 혼합형 펀드 등), RP 거래, 유동화기구 등과 같이 은행시 스템 밖에서 신용중개기능을 수행하지만 은행 수준의 건전성 규제와 예금자보호가 적용되지 않는 기관 또는 활동을 이르는 용어이다.
근원인플레이션율	근원인플레이션율(core inflation rate)은 물가변동을 초래하는 여러 요인들 가운데 일시적인 공급충격의 영향을 제외한 기조적인 물가상승률을 말한다.
글래스-스티걸법	미국 의회가 제정한 법으로 공식 명칭은 1933년 은행법(Banking Act of 1933)이다.
글로벌가치사슬(GVC)	글로벌 가치사슬(GVC; Global Value Chain)은 상품의 설계, 부품과 원재료의 조달, 생산, 유통, 판매에 이르기까지 각 세분화된 과정이 어느 한 국가가 아닌 비용면에서 우위가 있는 국가에서 이루어지면서 각 단계별로 부가가치가 창출되는 세계교역의 새로 운 패러다임을 말한다.
글로벌금융안전망	금융위기 등으로 인하여 외화유동성이 부족해지는 경우에 대비하기 위하여 각국이 외화유동성을 인출하거나 지원받는 각종 제도적 장치들을 총칭하여 글로벌금융안전망이라고 한다.
금리선물	금리선물(interest rate futures)이란 기초자산인 금리를 거래대상으로 하며 현재의 시점에서 정한 가격으로 미래의 특정 시점에서 사거나 팔 것을 약정하는 계약을 말한다.
금리스왑	금리스왑(IRS; Interest Rate Swaps)이란 금리변동위험 헤지 및 차입비용 절감 등을 위하여 거래당사자 간에 원금교환 없이 정기적(3개월)으로 변동금리(91일물 CD금리) 와 고정금리(IRS금리)를 교환하는 거래를 말한다.
금리자유화	금리자유화란 금리규제를 철폐함으로써 금리가 시장의 자금수급에 따라 자유로이 결정될 수 있도록 하는 조치이다.
금리평가이론	완전한 금융시장에서 즉, 국경간 자본이동에 규제가 없고 거래비용이나 세금 등을 고려하지 않은 경우, 2개국 간의 금리격차는 선물환 프리미엄(또는 스왑레이트)과 같다 는 이론이다.
금본위제	금본위제란 각국의 통화가치를 순금의 일정한 중량으로 정해 놓고 금화의 자유로운 주조와 수출입을 허용하며 이를 지폐나 예금통화 등과 교환할 수 있도록 하는 제도이다.
금산분리	산업자본이 은행지분을 일정한도 이상 소유하지 못하도록 하는 것을 금산분리라고 한다.
금융 하부구조	지급결제시스템, 신용평가제도, 주식시장, 선물시장 등과 같이 금융거래가 원활하게 이루어질 수 있도록 지원하는 각종 제도적 장치 및 기관을 의미한다.
금융EDI	EDI(Electronic Data Interchange)는 기업 상호 간에 접속된 컴퓨터를 이용하여 재화와 용역의 거래정보를 표준화된 양식으로 교환하여 상거래를 처리함으로써 각종 서류작성 및 거래 정보의 컴퓨터 중복입력 등을 생략하고 업무처리의 정확성 및 효율성을 높이기 위해 개발된 시스템이다.
금융공황	금융공황(banking panic)은 일부 금융기관이 실물경제 침체 등으로 인한 대출 부실화 로 심각한 경영난에 빠졌을 때 예금인출사태(bank run)가 해당 금융기관만이 아닌 다른 금융기관에까지 급속하게 확산되어 금융시장 전체가 신용경색 사태에 직면하는 현상을 말한다.
금융사이클	경제주체의 위험추구 성향, 신용담보로 제공되는 실물자산의 가치변동 등이 상호작용하면서 나타나는 금융변수들의 종합적인 순환변동을 의미한다.
금융시스템 상호연계성	금융불안을 초래할 수 있는 시스템 리스크는 시계열 차원뿐만 아니라 특정 시점에서 종합적으로 파악할 필요가 있는데, 특정 시점에서 시스템 리스크를 초래할 수 있는 핵심 요인인 상호연계성은 해당 금융업권(기관)이 영업활동 과정에서 여타 금융업권(기관)과 밀접하게 연결된 정도를 의미한다.
금융안정	금융회사들이 정상적인 자금중개기능을 수행하고, 금융시장 참가자들의 신뢰가 유지 되는 가운데 금융인프라가 잘 구비되어 있어 금융시스템이 원활히 작동하는 상태를 의미한다.
금융안정위원회(FSB)	기존 금융안정포럼(FSF)의 국제금융시장 안정 기능을 보다 강화하기 위하여 동 포럼의 참여 대상, 책무, 권한 등을 확대 개편하여 2009년 4월 금융안정위원회(FSB; Financial Stability Board)가 설립되었다.
금융안정지수	금융안정 상황을 나타내는 금융 및 실물 6개 부문(은행, 금융시장, 대외, 실물경제, 가계, 기업)의 20개 월별 지표를 표준화하여 산출한 지수이다.
금융연관비율(골드스미스비율)	금융연관비율(financial interrelations ratio)은 한 나라의 금융자산 잔액을 유형자산 (실물자산 또는 국부 = 유형자산 + 순 대외자산) 잔액으로 나눈 비율로 골드스미스 금융의 탈중개화 (R.W.Goldsmith)가 사용하기 시작하였다.
금융의 증권화	금융의 증권화(securitization)란 금융시장에서 거래가 용이한 유가증권을 이용하여 자금을조달하거나 운용하는 방식이 확대되는 현상을 말한다.
금융의 탈중개화	핀테크의 발달에 따라 금융업의 분화 현상이 심화됨으로써 금융서비스가 탈중개화(disintermediation)되고 탈집중화(decentralization)되는 경향을 보인다.
금융의 탈집중화	예를 들면, 대출 분야의 경우 지점을 갖지 않는 인터넷전문은행이 인터넷(모바일) 금융서비스 분야에 새로 진입하여 획기적으로 단기간에 대규모 고객을 확보함에 따라, 기존 대형 은행들이 대출금리 하향 조정 압력을 받게 됨은 물론 은행 내부에서 인터넷(모바일)뱅킹사업 분야의 조직이 나 인원을 별도로 강화할 수밖에 없게 되었다.
금융제도	금융거래에 관한 체계와 규범을 총칭하는 개념으로 금융시장, 금융기관, 금융기반구조(infra-structure)로 구분된다.
금융중개지원대출제도	한국은행의 금융중개지원대출 제도는 은행의 중소기업 등에 대한 대출 확대를 유도하 기 위해 동 대출 취급실적에 비례하여 한국은행이 은행에 낮은 금리로 자금을 공급하는 대출제도를 말한다.
금융지주회사	금융지주회사(financial holding company)는 지분 보유를 통해 은행 증권 보험 자산관 리 등의 금융업을 영위하는 자회사들을 소유하여 경영하는 모회사를 말한다.
금융채	금융채는 은행, 금융투자회사, 리스회사, 신용카드회사 등 금융기관이 장기적으로 안정적인 자금을 조달하기 위하여 발행하는 채권을 말한다.
금융통화위원회	금융통화위원회(monetary policy board)는 통화신용정책 수립 및 한국은행 운영에 관한 최고 의사결정기구로서 7명의 위원으로 구성된다.
금전신탁	금전신탁이란 수탁자가 금전을 신탁재산으로 위탁받아 이를 대출, 채권 등 적절한 투자대상에 운용하여 얻은 이익을 수익자에게 금전 등의 형태로 되돌려 주는 제도이다.
기대인플레이션	기대인플레이션은 향후 물가상승률에 대한 경제주체의 주관적인 전망을 나타내는 개념으로 물가안정을 추구하는 중앙은행이 관심을 기울이고 안정적으로 관리해야 하는 핵심지표중 하나이다.
기본자본(Tier 1)	BIS 자기자본비율의 분자를 구성하는 자기자본 중 보통주자본(CET1; Common Equity Tier 1)과 기타기본자본(AT1; Additional Tier 1)을 함께 일컫는 말이다.
